prompts: all tasks — 653 steps in scope
prompts: fund_002:n2 — generated (296 words, 1 call)
prompts: legal_001:n6 — generated (276 words, 1 call)
prompts: legal_003:n6 — generated (267 words, 1 call)
prompts: tax_001:n5 — generated (284 words, 1 call)
prompts: tax_002:n8 — generated (259 words, 1 call)
prompts: hr_002:n1 — generated (299 words, 2 calls)
prompts: hr_003:n5 — generated (290 words, 1 call)
prompts: fin_001:n3 — generated (287 words, 1 call)
prompts: ops_004:n4 — generated (240 words, 1 call)
prompts: scale_011:n5 — generated (261 words, 1 call)
prompts: prod_003:n1 — generated (254 words, 1 call)
prompts: prod_003:n2 — generated (231 words, 1 call)
prompts: opp_002:n3 — generated (293 words, 2 calls)
prompts: opp_008:n2 — generated (283 words, 1 call)
prompts: domain_001:n1 — generated (257 words, 1 call)
prompts: vendor_010:n3 — generated (265 words, 1 call)
prompts: comp_010:n1 — generated (300 words, 1 call)
prompts: shutdown_001:n12 — generated (282 words, 1 call)
prompts: tax_010:n2 — generated (276 words, 1 call)
prompts: prod_011:n2 — generated (289 words, 1 call)
prompts: ops_013:n5 — generated (278 words, 1 call)
prompts: sw_010:n5 — generated (293 words, 1 call)
prompts: done — 22 generated, 24 LLM calls this run
prompts: wrote 653 step prompts to data/step-prompts.json
