$ tsx pipeline/cli.ts probe-record --category ai-support-agents
probe-record: ai-support-agents/intercom-fin/own-site-llms-txt — PASS (exit 0)
probe-record: ai-support-agents/intercom-fin/devdocs-llms-txt — PASS (exit 0)
probe-record: ai-support-agents/intercom-fin/api-auth-challenge — PASS (exit 0)
probe-record: ai-support-agents/intercom-fin/mcp-authgate — PASS (exit 0)
probe-record: ai-support-agents/intercom-fin/sdk-npm-registry — PASS (exit 0)
probe-record: ai-support-agents/decagon/site-llms-txt — PASS (exit 0)
probe-record: ai-support-agents/decagon/product-surface-sitemap — PASS (exit 0)
probe-record: ai-support-agents/decagon/docs-login-gate — PASS (exit 0)
probe-record: ai-support-agents/sierra/taubench-repo-readme — PASS (exit 0)
probe-record: ai-support-agents/sierra/product-surface-sitemap — PASS (exit 0)
probe-record: ai-support-agents/sierra/docs-login-gate — PASS (exit 0)
probe-record: ai-support-agents/pylon/docs-llms-txt — PASS (exit 0)
probe-record: ai-support-agents/pylon/docs-md-mirror — PASS (exit 0)
probe-record: ai-support-agents/pylon/api-auth-challenge — PASS (exit 0)
probe-record: ai-support-agents/pylon/mcp-authgate — PASS (exit 0)
probe-record: ai-support-agents/lorikeet/docs-llms-txt — PASS (exit 0)
probe-record: ai-support-agents/lorikeet/docs-md-mirror — PASS (exit 0)
probe-record: ai-support-agents/lorikeet/api-auth-challenge — PASS (exit 0)
probe-record: ai-support-agents/lorikeet/mcp-endpoint-live — PASS (exit 0)
probe-record: ai-support-agents/parahelp/docs-llms-txt — PASS (exit 0)
probe-record: ai-support-agents/parahelp/docs-md-mirror — PASS (exit 0)
probe-record: ai-support-agents/parahelp/public-api-docs — PASS (exit 0)
