$ tsx pipeline/cli.ts probe-record --category durable-workflows
probe-record: durable-workflows/temporal/own-docs-llms-txt — PASS (exit 0)
probe-record: durable-workflows/temporal/own-docs-md-mirror — PASS (exit 0)
probe-record: durable-workflows/temporal/docs-mcp-authgate — PASS (exit 0)
probe-record: durable-workflows/temporal/cli-version — PASS (exit 0)
probe-record: durable-workflows/inngest/own-site-llms-txt — PASS (exit 0)
probe-record: durable-workflows/inngest/docs-markdown-mirror — PASS (exit 0)
probe-record: durable-workflows/inngest/cli-version — PASS (exit 0)
probe-record: durable-workflows/inngest/cloud-mcp-authgate — PASS (exit 0)
probe-record: durable-workflows/inngest/api-auth-challenge — PASS (exit 0)
probe-record: durable-workflows/trigger-dev/own-docs-llms-txt — PASS (exit 0)
probe-record: durable-workflows/trigger-dev/own-docs-md-mirror — PASS (exit 0)
probe-record: durable-workflows/trigger-dev/cli-version — PASS (exit 0)
probe-record: durable-workflows/trigger-dev/mcp-stdio-handshake — PASS (exit 0)
probe-record: durable-workflows/trigger-dev/api-auth-challenge — PASS (exit 0)
probe-record: durable-workflows/restate/own-docs-llms-txt — PASS (exit 0)
probe-record: durable-workflows/restate/own-docs-md-mirror — PASS (exit 0)
probe-record: durable-workflows/restate/docs-mcp-handshake — PASS (exit 0)
probe-record: durable-workflows/restate/cli-version — PASS (exit 0)
probe-record: durable-workflows/hatchet/own-docs-llms-txt — PASS (exit 0)
probe-record: durable-workflows/hatchet/own-docs-md-mirror — PASS (exit 0)
probe-record: durable-workflows/hatchet/api-auth-challenge — PASS (exit 0)
probe-record: durable-workflows/hatchet/sdk-uvx-install — PASS (exit 0)
probe-record: durable-workflows/hatchet/cli-installer-script — PASS (exit 0)
probe-record: durable-workflows/dbos/own-docs-llms-txt — PASS (exit 0)
probe-record: durable-workflows/dbos/own-docs-md-mirror — PASS (exit 0)
probe-record: durable-workflows/dbos/cli-help — PASS (exit 0)
probe-record: durable-workflows/dbos/mcp-stdio-handshake — PASS (exit 0)
probe-record: durable-workflows/dbos/conductor-openapi — PASS (exit 0)
